Date,Open,High,Low,Close,Adj Close,Volume
2023-12-13,2.460000,2.870000,2.420000,2.850000,2.850000,11324400
2023-12-14,2.950000,3.175000,2.900000,3.060000,3.060000,18799300
2023-12-15,3.120000,3.360000,3.010000,3.240000,3.240000,27875600
2023-12-18,3.260000,3.340000,3.000000,3.070000,3.070000,9108900
2023-12-19,3.080000,3.430000,3.060000,3.420000,3.420000,7868800
2023-12-20,3.390000,3.620000,3.140000,3.160000,3.160000,10717000
2023-12-21,3.300000,3.365000,3.230000,3.310000,3.310000,4280000
2023-12-22,3.340000,3.530000,3.260000,3.470000,3.470000,7348900
2023-12-26,3.520000,3.640000,3.390000,3.600000,3.600000,6834000
2023-12-27,3.640000,3.690000,3.560000,3.650000,3.650000,4993300
2023-12-28,3.650000,3.685000,3.430000,3.490000,3.490000,5234700
2023-12-29,3.510000,3.585000,3.310000,3.370000,3.370000,6579300
2024-01-02,3.270000,3.312000,3.075000,3.120000,3.120000,8960300
2024-01-03,3.038000,3.080000,2.930000,2.980000,2.980000,6640800
2024-01-04,2.940000,3.070000,2.890000,3.030000,3.030000,4707100
2024-01-05,3.030000,3.290000,2.980000,3.270000,3.270000,7659100
2024-01-08,3.340000,3.350000,3.140000,3.310000,3.310000,5824800
2024-01-09,3.290000,3.565000,3.165000,3.180000,3.180000,11917300
2024-01-10,3.200000,3.240000,2.860000,2.865000,2.865000,12141500
2024-01-11,2.860000,2.920000,2.810000,2.825000,2.825000,4838600
2024-01-12,2.880000,2.905000,2.500000,2.505000,2.505000,11766200
2024-01-16,2.590000,2.590000,2.350000,2.365000,2.365000,7041200
2024-01-17,2.310000,2.320000,2.140000,2.260000,2.260000,10733500
2024-01-18,2.300000,2.390000,2.150000,2.160000,2.160000,10111100
2024-01-19,2.200000,2.240000,2.090000,2.210000,2.210000,8917500
2024-01-22,2.240000,2.410000,2.210000,2.350000,2.350000,6389100
2024-01-23,2.450000,2.670000,2.431000,2.670000,2.670000,8171700
2024-01-24,2.740000,2.920000,2.670000,2.860000,2.860000,9254300
2024-01-25,2.780000,2.825000,2.600000,2.650000,2.650000,6474400
2024-01-26,2.700000,2.790000,2.670000,2.720000,2.720000,5246200
2024-01-29,2.730000,2.970000,2.670000,2.960000,2.960000,7444000
2024-01-30,2.900000,2.930000,2.780000,2.790000,2.790000,3680800
2024-01-31,2.770000,2.940000,2.700000,2.720000,2.720000,8058000
2024-02-01,2.810000,2.930000,2.740000,2.920000,2.920000,5922400
2024-02-02,2.860000,2.910000,2.800000,2.870000,2.870000,4000900
2024-02-05,2.830000,2.830000,2.580000,2.595000,2.595000,4424600
2024-02-06,2.640000,3.020000,2.610000,3.000000,3.000000,6105500
2024-02-07,3.020000,3.045000,2.882000,2.940000,2.940000,4712300
2024-02-08,2.950000,3.010000,2.840000,2.900000,2.900000,4151200
2024-02-09,2.900000,2.980000,2.870000,2.910000,2.910000,6249700
2024-02-12,2.920000,2.990000,2.760000,2.870000,2.870000,7337100
2024-02-13,2.790000,2.820000,2.460000,2.530000,2.530000,9367200
2024-02-14,2.640000,2.680000,2.550000,2.625000,2.625000,4427300
2024-02-15,2.670000,2.820000,2.610000,2.710000,2.710000,7168900
2024-02-16,2.710000,2.710000,2.510000,2.530000,2.530000,6890100
2024-02-20,2.530000,2.560000,2.450000,2.540000,2.540000,6073200
2024-02-21,2.530000,2.535000,2.380000,2.400000,2.400000,6198300
2024-02-22,2.480000,2.480000,2.270000,2.300000,2.300000,8117000
2024-02-23,2.300000,2.300000,2.155000,2.190000,2.190000,7907700
2024-02-26,2.260000,2.335000,2.200000,2.240000,2.240000,8608300
2024-02-27,2.320000,2.550000,2.240000,2.500000,2.500000,12422800
2024-02-28,2.200000,2.380000,2.110000,2.380000,2.380000,13011600
2024-02-29,2.430000,2.519000,2.310000,2.390000,2.390000,7331100
2024-03-01,2.410000,2.415000,2.284000,2.330000,2.330000,6319600
2024-03-04,2.350000,2.350000,2.225000,2.260000,2.260000,5968100
2024-03-05,2.250000,2.380000,2.170000,2.190000,2.190000,8443200
2024-03-06,2.220000,2.240000,2.060000,2.170000,2.170000,9489200
2024-03-07,2.130000,2.160000,2.060000,2.070000,2.070000,7873800
2024-03-08,2.110000,2.215000,2.060000,2.070000,2.070000,7459700
2024-03-11,2.070000,2.130000,1.920000,1.930000,1.930000,10505000
2024-03-12,1.950000,1.975000,1.870000,1.920000,1.920000,9057500
2024-03-13,1.920000,2.045000,1.870000,1.920000,1.920000,7171300
2024-03-14,1.910000,1.920000,1.730000,1.765000,1.765000,10643300
2024-03-15,1.795000,1.830000,1.663000,1.700000,1.700000,22925400
2024-03-18,1.740000,1.879000,1.660000,1.730000,1.730000,6638600
2024-03-19,1.720000,1.740000,1.680000,1.700000,1.700000,5746100
2024-03-20,1.720000,1.818000,1.683000,1.790000,1.790000,6203200
2024-03-21,1.800000,1.810000,1.755000,1.790000,1.790000,4318900
2024-03-22,1.740000,1.750000,1.660000,1.710000,1.710000,5212400
2024-03-25,1.710000,1.740000,1.630000,1.690000,1.690000,5504700
2024-03-26,1.750000,1.900000,1.670000,1.690000,1.690000,11258500
2024-03-27,1.700000,1.800000,1.680000,1.780000,1.780000,7935200
2024-03-28,1.820000,1.980000,1.790000,1.970000,1.970000,10558700
2024-04-01,2.020000,2.120000,1.960000,2.100000,2.100000,10208800
2024-04-02,2.020000,2.060000,1.915000,1.930000,1.930000,7549700
2024-04-03,1.900000,2.030000,1.880000,1.990000,1.990000,5719400
2024-04-04,2.100000,2.210000,1.965000,2.010000,2.010000,8425900
2024-04-05,1.980000,2.041000,1.950000,2.000000,2.000000,4311300
2024-04-08,2.000000,2.050000,1.860000,1.880000,1.880000,6116200
2024-04-09,1.870000,1.950000,1.850000,1.920000,1.920000,4523000
2024-04-10,1.760000,1.798000,1.720000,1.760000,1.760000,7381200
2024-04-11,1.760000,1.770000,1.235000,1.440000,1.440000,21010200
2024-04-12,1.480000,1.480000,1.270000,1.300000,1.300000,15268200
2024-04-15,1.360000,1.500000,1.275000,1.335000,1.335000,10004200
2024-04-16,1.320000,1.380000,1.265000,1.330000,1.330000,5364800
2024-04-17,1.350000,1.360000,1.220000,1.250000,1.250000,7228400
2024-04-18,1.250000,1.380000,1.210000,1.260000,1.260000,7555500
2024-04-19,1.250000,1.340000,1.250000,1.310000,1.310000,5479300
2024-04-22,1.340000,1.370000,1.240000,1.300000,1.300000,5420800
2024-04-23,1.300000,1.540000,1.280000,1.460000,1.460000,12047200
2024-04-24,1.555000,1.570000,1.380000,1.430000,1.430000,5833900
2024-04-25,1.410000,1.440000,1.350000,1.370000,1.370000,4675700
2024-04-26,1.400000,1.450000,1.380000,1.440000,1.440000,4324600
2024-04-29,1.500000,1.620000,1.410000,1.460000,1.460000,5319200
2024-04-30,1.470000,1.510000,1.430000,1.470000,1.470000,6872800
2024-05-01,1.470000,1.540000,1.450000,1.480000,1.480000,3620700
2024-05-02,1.500000,1.550000,1.450000,1.500000,1.500000,4394200
2024-05-03,1.550000,1.700000,1.520000,1.680000,1.680000,10417400
2024-05-06,1.530000,1.690000,1.530000,1.670000,1.670000,10552700
2024-05-07,1.700000,1.770000,1.640000,1.650000,1.650000,10530800
2024-05-08,1.760000,2.320000,1.700000,1.960000,1.960000,61552900
2024-05-09,1.960000,1.960000,1.670000,1.690000,1.690000,18810400
2024-05-10,1.780000,1.780000,1.670000,1.710000,1.710000,9126000
2024-05-13,1.740000,1.910000,1.715000,1.820000,1.820000,11357300
2024-05-14,1.900000,2.120000,1.870000,1.920000,1.920000,21762600
2024-05-15,2.020000,2.060000,1.742000,1.770000,1.770000,12986900
2024-05-16,1.770000,1.820000,1.680000,1.730000,1.730000,8199800
